종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"069460","대호에이엘","KOSPI","철강금속","3935","105","2.74","192805146760"
"192080","더블유게임즈","KOSPI","서비스업","65900","1200","1.85","1210879681800"
"012510","더존비즈온","KOSPI","서비스업","87000","-10400","-10.68","2643302208000"
"004830","덕성","KOSPI","화학","17150","-50","-0.29","268912000000"
"004835","덕성우","KOSPI","화학","22800","50","0.22","31737600000"
"024900","덕양산업","KOSPI","운수장비","3395","35","1.04","110558107100"
"145720","덴티움","KOSPI","의료정밀","71100","-2600","-3.53","786993813000"
"002150","도화엔지니어링","KOSPI","서비스업","8040","-60","-0.74","271108800000"
"001230","동국제강","KOSPI","철강금속","17850","0","0.00","1703474355450"
"023450","동남합성","KOSPI","화학","64900","0","0.00","234289000000"
"004140","동방","KOSPI","운수창고업","4110","-75","-1.79","164283958260"
"007590","동방아그로","KOSPI","화학","7490","-50","-0.66","101995651730"
"005960","동부건설","KOSPI","건설업","15250","150","0.99","346658867250"
"005965","동부건설우","KOSPI","건설업","38000","-900","-2.31","8577816000"
"026960","동서","KOSPI","유통업","36150","850","2.41","3604155000000"
"002210","동성제약","KOSPI","의약품","9030","-80","-0.88","235691759100"
"102260","동성케미컬","KOSPI","서비스업","5830","-20","-0.34","289691114240"
"000640","동아쏘시오홀딩스","KOSPI","기타금융","108000","-500","-0.46","685530648000"
"170900","동아에스티","KOSPI","의약품","72900","-200","-0.27","615578316300"
"028100","동아지질","KOSPI","건설업","18800","0","0.00","216200000000"
"282690","동아타이어","KOSPI","화학","13000","-50","-0.38","178529195000"
"001520","동양","KOSPI","비금속광물","1575","-25","-1.56","375927399225"
"001527","동양2우B","KOSPI","비금속광물","14650","0","0.00","4520535850"
"001529","동양3우B","KOSPI","비금속광물","35600","-850","-2.33","3194103200"
"084670","동양고속","KOSPI","운수창고업","22000","0","0.00","63702518000"
"082640","동양생명","KOSPI","보험","6950","-170","-2.39","1121442165750"
"001525","동양우","KOSPI","비금속광물","7620","-180","-2.31","4707110220"
"008970","동양철관","KOSPI","철강금속","1470","-20","-1.34","174761376300"
"092780","동양피스톤","KOSPI","운수장비","8360","-270","-3.13","110088325600"
"049770","동원F&B","KOSPI","음식료품","211500","-2500","-1.17","816204726000"
"018500","동원금속","KOSPI","운수장비","1005","5","0.50","46988707665"
"006040","동원산업","KOSPI","농업, 임업 및 어업","231000","-3500","-1.49","849535071000"
"030720","동원수산","KOSPI","농업, 임업 및 어업","9770","70","0.72","45467674850"
"014820","동원시스템즈","KOSPI","화학","54800","-2400","-4.20","1599524922800"
"014825","동원시스템즈우","KOSPI","화학","35500","250","0.71","9420209000"
"163560","동일고무벨트","KOSPI","화학","8420","-130","-1.52","117038000000"
"004890","동일산업","KOSPI","철강금속","142500","1000","0.71","345593137500"
"002690","동일제강","KOSPI","철강금속","3470","-50","-1.42","52050000000"
"000020","동화약품","KOSPI","의약품","16400","0","0.00","458076108000"
"000150","두산","KOSPI","서비스업","108500","-500","-0.46","1792836097500"
"000157","두산2우B","KOSPI","서비스업","129000","-3000","-2.27","115201902000"
"241560","두산밥캣","KOSPI","기계","39800","1600","4.19","3989916806800"
"000155","두산우","KOSPI","서비스업","76200","500","0.66","304530404400"
"034020","두산중공업","KOSPI","기계","25700","-400","-1.53","13330733508800"
"336260","두산퓨얼셀","KOSPI","전기전자","54900","400","0.73","3595605557400"
"33626K","두산퓨얼셀1우","KOSPI","전기전자","16350","100","0.62","218504670000"
"33626L","두산퓨얼셀2우B","KOSPI","전기전자","20650","100","0.49","61667095000"
"016740","두올","KOSPI","운수장비","4765","-75","-1.55","157562730200"
"192650","드림텍","KOSPI","전기전자","10250","-150","-1.44","669768527750"
"024090","디씨엠","KOSPI","철강금속","22300","-100","-0.45","260910000000"
"003160","디아이","KOSPI","의료정밀","7830","20","0.26","246619826550"
"092200","디아이씨","KOSPI","운수장비","5650","-50","-0.88","219720414850"
"377190","디앤디플랫폼리츠","KOSPI","서비스업","5490","30","0.55","353556000000"
"013570","디와이","KOSPI","기타금융","5500","70","1.29","144757981500"
"210540","디와이파워","KOSPI","기계","13100","150","1.16","144646374800"
"007340","디티알오토모티브","KOSPI","전기전자","56600","1200","2.17","565660683000"
"026890","디피씨","KOSPI","전기전자","15800","250","1.61","658515165000"
"115390","락앤락","KOSPI","화학","10750","-150","-1.38","569832108500"
"032350","롯데관광개발","KOSPI","서비스업","21000","-200","-0.94","1454788902000"
"089860","롯데렌탈","KOSPI","서비스업","39450","-550","-1.38","1445213785350"
"330590","롯데리츠","KOSPI","서비스업","5700","-20","-0.35","1384922638800"
"000400","롯데손해보험","KOSPI","보험","1890","-15","-0.79","586535644800"
"023530","롯데쇼핑","KOSPI","유통업","105000","-1500","-1.41","2970319275000"
"004000","롯데정밀화학","KOSPI","화학","84600","-1800","-2.08","2182680000000"
"286940","롯데정보통신","KOSPI","서비스업","37150","1600","4.50","571973696650"
"280360","롯데제과","KOSPI","음식료품","131000","1000","0.77","840589927000"
"004990","롯데지주","KOSPI","기타금융","33650","-350","-1.03","3530195825050"
"00499K","롯데지주우","KOSPI","기타금융","52300","0","0.00","51652682900"
"005300","롯데칠성","KOSPI","음식료품","159500","1500","0.95","1479981998000"
"005305","롯데칠성우","KOSPI","음식료품","73000","-1000","-1.35","56597630000"
"011170","롯데케미칼","KOSPI","화학","232000","-10500","-4.33","7951897208000"
"002270","롯데푸드","KOSPI","음식료품","388000","-1000","-0.26","469113340000"
"071840","롯데하이마트","KOSPI","유통업","28200","-450","-1.57","665737478400"
"027740","마니커","KOSPI","음식료품","434","0","0.00","86137105796"
"204320","만도","KOSPI","운수장비","64300","500","0.78","3019342816000"
"001080","만호제강","KOSPI","철강금속","22050","50","0.23","91507500000"
"088980","맥쿼리인프라","KOSPI","기타금융","13700","200","1.48","5546383993900"
"094800","맵스리얼티1","KOSPI","기타금융","4970","-40","-0.80","461386625070"
"138040","메리츠금융지주","KOSPI","기타금융","33700","-100","-0.30","4516180607800"
"008560","메리츠증권","KOSPI","증권","4855","20","0.41","3309801961045"
"000060","메리츠화재","KOSPI","보험","29500","400","1.37","3558437500000"
"090370","메타랩스","KOSPI","섬유의복","1040","-35","-3.26","68989767600"
"017180","명문제약","KOSPI","의약품","5820","-280","-4.59","197609102280"
"009900","명신산업","KOSPI","운수장비","29400","-650","-2.16","1542621910200"
"012690","모나리자","KOSPI","종이목재","4030","-50","-1.23","147382157650"
