,종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액,EPS,PER,BPS,PBR,주당배당금,배당수익률
327,005500,삼진제약,KOSPI,의약품,27700,350,1.28,385030000000,917.0,30.21,14207.0,1.95,800,2.89
328,002270,롯데푸드,KOSPI,음식료품,335500,3500,1.05,379742385000,41242.0,8.13,625100.0,0.54,12000,3.58
329,102460,이연제약,KOSPI,의약품,21500,-1000,-4.44,377591385000,352.0,61.08,12879.0,1.67,350,1.63
330,075580,세진중공업,KOSPI,운수장비,6620,-120,-1.78,376343398720,42.0,157.62,2765.0,2.39,20,0.3
331,007460,에이프로젠 KIC,KOSPI,기계,2020,-55,-2.65,369551431060,86.0,23.49,1973.0,1.02,0,0.0
332,092220,KEC,KOSPI,전기전자,3165,95,3.09,369377465100,,,1782.0,1.78,0,0.0
333,026890,디피씨,KOSPI,전기전자,8810,60,0.69,367184721750,287.0,30.7,3705.0,2.38,80,0.91
334,000140,하이트진로홀딩스,KOSPI,기타금융,15800,-150,-0.94,366666887000,,,18398.0,0.86,350,2.22
335,029460,케이씨,KOSPI,의료정밀,27050,150,0.56,366636890200,4054.0,6.67,33184.0,0.82,250,0.92
336,072710,농심홀딩스,KOSPI,기타금융,77900,900,1.17,361283841000,7887.0,9.88,198514.0,0.39,2000,2.57
337,033180,필룩스,KOSPI,전기전자,3995,-105,-2.56,359722296360,,,3355.0,1.19,0,0.0
338,083420,그린케미칼,KOSPI,화학,14900,-1200,-7.45,357600000000,236.0,63.14,4521.0,3.3,170,1.14
339,000050,경방,KOSPI,유통업,12900,-100,-0.77,353656983000,1630.0,7.91,27050.0,0.48,125,0.97
340,002310,아세아제지,KOSPI,종이목재,39400,-350,-0.88,352886178800,6860.0,5.74,65302.0,0.6,600,1.52
341,317400,자이에스앤디,KOSPI,서비스업,13000,550,4.42,348172760000,677.0,19.2,5419.0,2.4,100,0.77
342,007810,코리아써키트,KOSPI,전기전자,14650,-50,-0.34,346044002150,25.0,586.0,12169.0,1.2,0,0.0
343,002990,금호산업,KOSPI,건설업,9420,70,0.75,345091564080,332.0,28.37,10364.0,0.91,500,5.31
344,079430,현대리바트,KOSPI,기타제조업,16600,0,0.0,340885681200,968.0,17.15,22301.0,0.74,150,0.9
345,002620,제일파마홀딩스,KOSPI,서비스업,21250,0,0.0,339433793750,,,24634.0,0.86,70,0.33
346,004690,삼천리,KOSPI,전기가스업,83500,600,0.72,338594587500,10614.0,7.87,316716.0,0.26,3000,3.59
347,005420,코스모화학,KOSPI,화학,12900,400,3.2,336829642500,,,5351.0,2.41,0,0.0
348,006840,AK홀딩스,KOSPI,기타금융,25350,150,0.6,335825671350,2168.0,11.69,62448.0,0.41,750,2.96
349,016800,퍼시스,KOSPI,기타제조업,29100,-400,-1.36,334650000000,3601.0,8.08,38601.0,0.75,1000,3.44
350,000480,조선내화,KOSPI,비금속광물,83600,200,0.24,334400000000,7493.0,11.16,147942.0,0.57,4000,4.78
351,234080,JW생명과학,KOSPI,의약품,21100,250,1.2,334109089400,1385.0,15.23,7744.0,2.72,500,2.37
352,002960,한국쉘석유,KOSPI,화학,255500,0,0.0,332150000000,16174.0,15.8,75323.0,3.39,16000,6.26
353,213500,한솔제지,KOSPI,종이목재,13700,-100,-0.72,326067891200,1683.0,8.14,24810.0,0.55,600,4.38
