,종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
249,016710,대성홀딩스,KOSPI,서비스업,44350,800,1.84,713567506650
250,003540,대신증권,KOSPI,증권,21050,-150,-0.71,1068780070000
251,003547,대신증권2우B,KOSPI,증권,18850,0,0.0,188500000000
252,003545,대신증권우,KOSPI,증권,19200,-50,-0.26,499200000000
253,009190,대양금속,KOSPI,철강금속,5430,60,1.12,171342466260
254,014160,대영포장,KOSPI,종이목재,2520,-110,-4.18,273154263480
255,047040,대우건설,KOSPI,건설업,6380,-250,-3.77,2651672430440
256,009320,대우부품,KOSPI,운수장비,3250,15,0.46,154850718750
257,042660,대우조선해양,KOSPI,운수장비,25150,-300,-1.18,2698360325350
258,003090,대웅,KOSPI,기타금융,32950,-50,-0.15,1915778241000
259,069620,대웅제약,KOSPI,의약품,143500,1500,1.06,1662673512500
260,000430,대원강업,KOSPI,운수장비,4255,-30,-0.7,263810000000
261,006340,대원전선,KOSPI,전기전자,1970,-25,-1.25,139903424990
262,006345,대원전선우,KOSPI,전기전자,3430,-15,-0.44,8990716000
263,003220,대원제약,KOSPI,의약품,16250,-100,-0.61,344903373750
264,024890,대원화성,KOSPI,화학,6190,470,8.22,255332250880
265,002880,대유에이텍,KOSPI,운수장비,1910,70,3.8,213655612070
266,000300,대유플러스,KOSPI,전기전자,1440,-30,-2.04,174238234560
267,012800,대창,KOSPI,철강금속,2080,-20,-0.95,189572237920
268,015230,대창단조,KOSPI,운수장비,7650,90,1.19,109288779750
269,001070,대한방직,KOSPI,섬유의복,47100,1200,2.61,249630000000
270,006650,대한유화,KOSPI,화학,186000,-3500,-1.85,1209000000000
271,001440,대한전선,KOSPI,전기전자,2275,-40,-1.73,1948476095475
272,084010,대한제강,KOSPI,철강금속,18850,-150,-0.79,464590935900
273,001790,대한제당,KOSPI,음식료품,3275,-115,-3.39,293756299500
274,001795,대한제당우,KOSPI,음식료품,3365,-90,-2.6,21814487400
275,001130,대한제분,KOSPI,음식료품,163500,1000,0.62,276315000000
276,003490,대한항공,KOSPI,운수창고업,30800,0,0.0,10712881410000
